 Autogenerated Input
50.25 9 0.50000000 1.1 
 	 R 	 Energy 
   0.94486307 -1.07989308 
   1.06056059 -1.12216475 
   1.17625810 -1.14644195 
   1.29195562 -1.15876852 
   1.40765314 -1.16304566 
   1.52335066 -1.16186556 
   1.63904818 -1.15699852 
   1.75474570 -1.14968513 
   1.87044322 -1.14081193 
   1.98614074 -1.13102017 
   2.10183825 -1.12077622 
   2.21753577 -1.11041848 
   2.33323329 -1.10019215 
   2.44893081 -1.09027350 
   2.56462833 -1.08078877 
   2.68032585 -1.07182722 
   2.79602337 -1.06345051 
   2.91172089 -1.05569826 
   3.02741841 -1.04859184 
   3.14311592 -1.04213645 
   3.25881344 -1.03632313 
   3.37451096 -1.03113082 
   3.49020848 -1.02652871 
   3.60590600 -1.02247874 
   3.72160352 -1.01893810 
   3.83730102 -1.01586141 
   3.95299854 -1.01320263 
   4.06869606 -1.01091655 
   4.18439357 -1.00895988 
   4.30009109 -1.00729204 
   4.41578861 -1.00587569 
   4.53148613 -1.00467693 
   4.64718365 -1.00366539 
   4.76288117 -1.00281428 
   4.87857869 -1.00209990 
   4.99427621 -1.00150169 
   5.10997372 -1.00100184 
   5.22567124 -1.00058503 
   5.34136876 -1.00023791 
   5.45706628 -0.99994935 
   5.57276380 -0.99970982 
   5.68846132 -0.99951123 
   5.80415884 -0.99934674 
   5.91985636 -0.99921061 
   6.03555387 -0.99909804 
   6.15125139 -0.99900498 
   6.26694891 -0.99892810 
   6.38264643 -0.99886458 
   6.49834395 -0.99881211 
   6.61404147 -0.99876876 

