R_bohr E_RHF E_UHF E_FCI E_corr_mHa
0.50000000 -0.42535103 -0.42535103 -0.45162169 -26.27100000
0.65300000 -0.78077735 -0.78077735 -0.80855624 -27.77900000
0.80600000 -0.96115781 -0.96115781 -0.99042590 -29.26800000
0.95900000 -1.05520364 -1.05520364 -1.08590485 -30.70100000
1.11200000 -1.10265745 -1.10265745 -1.13474479 -32.08700000
1.26500000 -1.12354020 -1.12354020 -1.15699971 -33.46000000
1.41800000 -1.12874126 -1.12874126 -1.16360171 -34.86000000
1.57100000 -1.12450784 -1.12450784 -1.16084666 -36.33900000
1.72400000 -1.11458571 -1.11458571 -1.15253767 -37.95200000
1.87800000 -1.10130580 -1.10130580 -1.14107071 -39.76500000
2.03100000 -1.08615431 -1.08615431 -1.12799956 -41.84500000
2.18400000 -1.07008715 -1.07008715 -1.11434458 -44.25700000
2.33700000 -1.05371703 -1.05371703 -1.10077547 -47.05800000
2.49000000 -1.03743312 -1.03743312 -1.08772820 -50.29500000
2.64300000 -1.02148035 -1.02148035 -1.07548274 -54.00200000
2.79600000 -1.00601192 -1.00601192 -1.06421403 -58.20200000
2.94900000 -0.99112313 -0.99112313 -1.05402358 -62.90000000
3.10200000 -0.97687194 -0.97687194 -1.04495742 -68.08500000
3.25500000 -0.96329072 -0.96329072 -1.03701623 -73.72600000
3.40800000 -0.95039269 -0.95039269 -1.03016256 -79.77000000
3.56100000 -0.93817607 -0.93817607 -1.02432849 -86.15200000
3.71400000 -0.92662762 -0.92662762 -1.01942450 -92.79700000
3.86700000 -0.91572605 -0.91572605 -1.01534867 -99.62300000
4.02000000 -0.90544507 -0.90544507 -1.01199482 -106.55000000
4.17300000 -0.89575589 -0.89575589 -1.00925912 -113.50300000
4.32700000 -0.88662891 -0.88662891 -1.00704451 -120.41600000
4.48000000 -0.87803477 -0.87803477 -1.00526345 -127.22900000
4.63300000 -0.86994488 -0.86994488 -1.00383916 -133.89400000
4.78600000 -0.86233174 -0.86233174 -1.00270577 -140.37400000
4.93900000 -0.85516901 -0.85516901 -1.00180776 -146.63900000
5.09200000 -0.84843158 -0.84843158 -1.00109899 -152.66700000
5.24500000 -0.84209559 -0.84209559 -1.00054147 -158.44600000
5.39800000 -0.83613844 -0.83613844 -1.00010427 -163.96600000
5.55100000 -0.83053880 -0.83053880 -0.99976233 -169.22400000
5.70400000 -0.82527657 -0.82527657 -0.99949548 -174.21900000
5.85700000 -0.82033284 -0.82033284 -0.99928763 -178.95500000
6.01000000 -0.81568979 -0.81568979 -0.99912596 -183.43600000
6.16300000 -0.81133061 -0.81133061 -0.99900033 -187.67000000
6.31600000 -0.80723941 -0.80723941 -0.99890277 -191.66300000
6.46900000 -0.80340107 -0.80340107 -0.99882702 -195.42600000
6.62200000 -0.79980119 -0.79980119 -0.99876820 -198.96700000
6.77600000 -0.79642599 -0.79642599 -0.99872249 -202.29600000
6.92900000 -0.79326227 -0.79326227 -0.99868694 -205.42500000
7.08200000 -0.79029736 -0.79029736 -0.99865926 -208.36200000
7.23500000 -0.78751909 -0.78751909 -0.99863767 -211.11900000
7.38800000 -0.78491576 -0.78491576 -0.99862078 -213.70500000
7.54100000 -0.78247619 -0.78247619 -0.99860755 -216.13100000
7.69400000 -0.78018967 -0.78018967 -0.99859715 -218.40700000
7.84700000 -0.77804596 -0.77804596 -0.99858894 -220.54300000
8.00000000 -0.77603534 -0.77603534 -0.99858245 -222.54700000
