
# Surface 0 of 1 surfaces

# Curve title: ""PPEReaction_contourtmp0.dat""

# Contour 0, label:       10
-0.289283 -2  10 
-0.23738 -1.96437  10 
-0.22813 -1.9596  10 
-0.184856 -1.93681  10 
-0.134302 -1.91919  10 
-0.132332 -1.91849  10 
-0.0798081 -1.90945  10 
-0.0272841 -1.90968  10 
 0.0252399 -1.91878  10 
 0.0264881 -1.91919  10 
 0.0777639 -1.93563  10 
 0.130094 -1.9596  10 
 0.130288 -1.95968  10 
 0.182812 -1.98925  10 
 0.199127 -2  10 

-0.289263  1.99999  10 
-0.23738  1.96437  10 
-0.228103  1.95958  10 
-0.184856  1.93681  10 
-0.134264  1.91918  10 
-0.132332  1.91849  10 
-0.0798081  1.90945  10 
-0.0272841  1.90968  10 
 0.0252399  1.91878  10 
 0.0264464  1.91918  10 
 0.0777639  1.93563  10 
 0.130063  1.95958  10 
 0.130288  1.95968  10 
 0.182812  1.98925  10 
 0.199106  1.99999  10 


# Contour 1, label:        9
-0.420431 -2  9 
-0.394952 -1.97121  9 
-0.383328 -1.9596  9 
-0.343713 -1.91919  9 
-0.342428 -1.91785  9 
-0.298283 -1.87879  9 
-0.289904 -1.87121  9 
-0.245013 -1.83838  9 
-0.23738 -1.83268  9 
-0.184856 -1.80318  9 
-0.170879 -1.79798  9 
-0.132332 -1.78333  9 
-0.0798081 -1.77367  9 
-0.0272841 -1.77392  9 
 0.0252399 -1.78364  9 
 0.0662407 -1.79798  9 
 0.0777639 -1.80192  9 
 0.130288 -1.82758  9 
 0.147921 -1.83838  9 
 0.182812 -1.8593  9 
 0.210562 -1.87879  9 
 0.235336 -1.89581  9 
 0.265974 -1.91919  9 
 0.28786 -1.93554  9 
 0.317863 -1.9596  9 
 0.340384 -1.97728  9 
 0.368233 -2  9 

-0.420418  1.99999  9 
-0.394952  1.97121  9 
-0.383314  1.95958  9 
-0.3437  1.91918  9 
-0.342428  1.91785  9 
-0.298267  1.87877  9 
-0.289904  1.87121  9 
-0.244992  1.83837  9 
-0.23738  1.83268  9 
-0.184856  1.80318  9 
-0.170838  1.79797  9 
-0.132332  1.78333  9 
-0.0798081  1.77367  9 
-0.0272841  1.77392  9 
 0.0252399  1.78364  9 
 0.0661965  1.79797  9 
 0.0777639  1.80192  9 
 0.130288  1.82758  9 
 0.147896  1.83837  9 
 0.182812  1.8593  9 
 0.210542  1.87877  9 
 0.235336  1.89581  9 
 0.265956  1.91918  9 
 0.28786  1.93554  9 
 0.317845  1.95958  9 
 0.340384  1.97728  9 
 0.368216  1.99999  9 


# Contour 2, label:        8
 1.57113 -2  8 
 1.60096 -1.98628  8 
 1.65348 -1.96369  8 
 1.66395 -1.9596  8 
 1.70601 -1.94281  8 
 1.75853 -1.92436  8 
 1.77591 -1.91919  8 
 1.81106 -1.90852  8 
 1.86358 -1.89573  8 
 1.9161 -1.88625  8 
 1.96863 -1.88013  8 
 1.99407 -1.87879  8 
 2.02115 -1.87733  8 
 2.07367 -1.87782  8 
 2.08765 -1.87879  8 
 2.1262 -1.88139  8 
 2.17872 -1.88777  8 
 2.23125 -1.89666  8 
 2.28377 -1.90775  8 
 2.33055 -1.91919  8 
 2.33629 -1.92057  8 
 2.38882 -1.9345  8 
 2.44134 -1.94936  8 
 2.47624 -1.9596  8 
 2.49387 -1.96466  8 
 2.54639 -1.97981  8 
 2.59891 -1.99474  8 
 2.61829 -2  8 

 4.69987 -1.99879  8 
 4.64735 -1.99359  8 
 4.59482 -1.98827  8 
 4.5423 -1.98296  8 
 4.48978 -1.97782  8 
 4.43725 -1.97298  8 
 4.38473 -1.96859  8 
 4.3322 -1.96478  8 
 4.27968 -1.96169  8 
 4.23105 -1.9596  8 
 4.22716 -1.95943  8 
 4.17463 -1.95808  8 
 4.12211 -1.95778  8 
 4.06959 -1.95858  8 
 4.04246 -1.9596  8 
 4.01706 -1.96052  8 
 3.96454 -1.96357  8 
 3.91201 -1.96775  8 
 3.85949 -1.97299  8 
 3.80697 -1.97921  8 
 3.75444 -1.98632  8 
 3.70192 -1.99417  8 
 3.6655 -2  8 

-0.5 -1.9693  8 
-0.492164 -1.9596  8 
-0.460187 -1.91919  8 
-0.447476 -1.90279  8 
-0.427102 -1.87879  8 
-0.394952 -1.84009  8 
-0.393348 -1.83838  8 
-0.35621 -1.79798  8 
-0.342428 -1.78265  8 
-0.315905 -1.75758  8 
-0.289904 -1.73243  8 
-0.270404 -1.71717  8 
-0.23738 -1.69072  8 
-0.214194 -1.67677  8 
-0.184856 -1.65868  8 
-0.132332 -1.63725  8 
-0.127825 -1.63636  8 
-0.0798081 -1.62665  8 
-0.0272841 -1.62692  8 
 0.0190763 -1.63636  8 
 0.0252399 -1.63759  8 
 0.0777639 -1.6573  8 
 0.114068 -1.67677  8 
 0.130288 -1.68526  8 
 0.178892 -1.71717  8 
 0.182812 -1.71969  8 
 0.233253 -1.75758  8 
 0.235336 -1.75911  8 
 0.283033 -1.79798  8 
 0.28786 -1.80183  8 
 0.330612 -1.83838  8 
 0.340384 -1.84656  8 
 0.377474 -1.87879  8 
 0.392908 -1.89191  8 
 0.424652 -1.91919  8 
 0.445432 -1.93668  8 
 0.47311 -1.9596  8 
 0.497956 -1.97975  8 
 0.523941 -2  8 

 3.66559  1.99999  8 
 3.70192  1.99417  8 
 3.75444  1.98632  8 
 3.80697  1.97921  8 
 3.85949  1.97299  8 
 3.91201  1.96775  8 
 3.96454  1.96357  8 
 4.01706  1.96052  8 
 4.04284  1.95958  8 
 4.06959  1.95858  8 
 4.12211  1.95778  8 
 4.17463  1.95808  8 
 4.22716  1.95943  8 
 4.23073  1.95958  8 
 4.27968  1.96169  8 
 4.3322  1.96478  8 
 4.38473  1.96859  8 
 4.43725  1.97298  8 
 4.48978  1.97782  8 
 4.5423  1.98296  8 
 4.59482  1.98827  8 
 4.64735  1.99359  8 
 4.69987  1.99879  8 

 1.57116  1.99999  8 
 1.60096  1.98628  8 
 1.65348  1.96369  8 
 1.66398  1.95958  8 
 1.70601  1.94281  8 
 1.75853  1.92436  8 
 1.77595  1.91918  8 
 1.81106  1.90852  8 
 1.86358  1.89573  8 
 1.9161  1.88625  8 
 1.96863  1.88013  8 
 1.99433  1.87877  8 
 2.02115  1.87733  8 
 2.07367  1.87782  8 
 2.08745  1.87877  8 
 2.1262  1.88139  8 
 2.17872  1.88777  8 
 2.23125  1.89666  8 
 2.28377  1.90775  8 
 2.3305  1.91918  8 
 2.33629  1.92057  8 
 2.38882  1.9345  8 
 2.44134  1.94936  8 
 2.47619  1.95958  8 
 2.49387  1.96466  8 
 2.54639  1.97981  8 
 2.59891  1.99474  8 
 2.61824  1.99999  8 

 0.523923  1.99999  8 
 0.497956  1.97975  8 
 0.473092  1.95958  8 
 0.445432  1.93668  8 
 0.424636  1.91918  8 
 0.392908  1.89191  8 
 0.377458  1.87877  8 
 0.340384  1.84656  8 
 0.330594  1.83837  8 
 0.28786  1.80183  8 
 0.283014  1.79797  8 
 0.235336  1.75911  8 
 0.233234  1.75756  8 
 0.182812  1.71969  8 
 0.17887  1.71716  8 
 0.130288  1.68526  8 
 0.114043  1.67675  8 
 0.0777639  1.6573  8 
 0.0252399  1.63759  8 
 0.0190068  1.63635  8 
-0.0272841  1.62692  8 
-0.0798081  1.62665  8 
-0.127755  1.63635  8 
-0.132332  1.63725  8 
-0.184856  1.65868  8 
-0.214171  1.67675  8 
-0.23738  1.69072  8 
-0.270386  1.71716  8 
-0.289904  1.73243  8 
-0.31589  1.75756  8 
-0.342428  1.78265  8 
-0.356196  1.79797  8 
-0.393334  1.83837  8 
-0.394952  1.84009  8 
-0.42709  1.87877  8 
-0.447476  1.90279  8 
-0.460176  1.91918  8 
-0.492152  1.95958  8 
-0.5  1.9693  8 


# Contour 3, label:        7
 4.69987 -1.86947  7 
 4.64735 -1.86393  7 
 4.59482 -1.85826  7 
 4.5423 -1.85261  7 
 4.48978 -1.84713  7 
 4.43725 -1.84198  7 
 4.39691 -1.83838  7 
 4.38473 -1.83727  7 
 4.3322 -1.83312  7 
 4.27968 -1.82976  7 
 4.22716 -1.8273  7 
 4.17463 -1.82586  7 
 4.12211 -1.82554  7 
 4.06959 -1.8264  7 
 4.01706 -1.82849  7 
 3.96454 -1.83181  7 
 3.91201 -1.83636  7 
 3.89336 -1.83838  7 
 3.85949 -1.84198  7 
 3.80697 -1.84861  7 
 3.75444 -1.85618  7 
 3.70192 -1.86455  7 
 3.64939 -1.8735  7 
 3.61982 -1.87879  7 
 3.59687 -1.8828  7 
 3.54435 -1.89218  7 
 3.49182 -1.90149  7 
 3.4393 -1.91052  7 
 3.38677 -1.91899  7 
 3.38541 -1.91919  7 
 3.33425 -1.92651  7 
 3.28173 -1.933  7 
 3.2292 -1.93825  7 
 3.17668 -1.94204  7 
 3.12415 -1.94421  7 
 3.07163 -1.9446  7 
 3.01911 -1.94312  7 
 2.96658 -1.9397  7 
 2.91406 -1.93431  7 
 2.86153 -1.92702  7 
 2.8166 -1.91919  7 
 2.80901 -1.91784  7 
 2.75649 -1.90678  7 
 2.70396 -1.89418  7 
 2.65144 -1.88031  7 
 2.64607 -1.87879  7 
 2.59891 -1.86516  7 
 2.54639 -1.84925  7 
 2.51102 -1.83838  7 
 2.49387 -1.833  7 
 2.44134 -1.81657  7 
 2.38882 -1.80072  7 
 2.37914 -1.79798  7 
 2.33629 -1.78558  7 
 2.28377 -1.77185  7 
 2.23125 -1.76001  7 
 2.2178 -1.75758  7 
 2.17872 -1.75035  7 
 2.1262 -1.74338  7 
 2.07367 -1.7395  7 
 2.02115 -1.73897  7 
 1.96863 -1.742  7 
 1.9161 -1.74869  7 
 1.87103 -1.75758  7 
 1.86358 -1.75901  7 
 1.81106 -1.77268  7 
 1.75853 -1.78971  7 
 1.73695 -1.79798  7 
 1.70601 -1.80957  7 
 1.65348 -1.83194  7 
 1.63972 -1.83838  7 
 1.60096 -1.85614  7 
 1.55475 -1.87879  7 
 1.54844 -1.88182  7 
 1.49591 -1.90809  7 
 1.47409 -1.91919  7 
 1.44339 -1.93448  7 
 1.39255 -1.9596  7 
 1.39086 -1.96041  7 
 1.33834 -1.98487  7 
 1.30377 -2  7 

-0.5 -1.83804  7 
-0.470274 -1.79798  7 
-0.447476 -1.76656  7 
-0.440339 -1.75758  7 
-0.40896 -1.71717  7 
-0.394952 -1.69871  7 
-0.376132 -1.67677  7 
-0.342428 -1.63652  7 
-0.342272 -1.63636  7 
-0.303414 -1.59596  7 
-0.289904 -1.58155  7 
-0.259764 -1.55556  7 
-0.23738 -1.53574  7 
-0.206428 -1.51515  7 
-0.184856 -1.50042  7 
-0.132332 -1.47667  7 
-0.123538 -1.47475  7 
-0.0798081 -1.46492  7 
-0.0272841 -1.46522  7 
 0.0148177 -1.47475  7 
 0.0252399 -1.47704  7 
 0.0777639 -1.49889  7 
 0.105138 -1.51515  7 
 0.130288 -1.5297  7 
 0.165914 -1.55556  7 
 0.182812 -1.56751  7 
 0.217169 -1.59596  7 
 0.235336 -1.61063  7 
 0.264039 -1.63636  7 
 0.28786 -1.6572  7 
 0.308709 -1.67677  7 
 0.340384 -1.70579  7 
 0.352345 -1.71717  7 
 0.392908 -1.75488  7 
 0.39578 -1.75758  7 
 0.439799 -1.79798  7 
 0.445432 -1.80304  7 
 0.485452 -1.83838  7 
 0.497956 -1.84919  7 
 0.533615 -1.87879  7 
 0.55048 -1.89249  7 
 0.585583 -1.91919  7 
 0.603004 -1.93217  7 
 0.643449 -1.9596  7 
 0.655528 -1.96762  7 
 0.708052 -1.99845  7 
 0.711163 -2  7 

 1.3038  1.99999  7 
 1.33834  1.98487  7 
 1.39086  1.96041  7 
 1.39258  1.95958  7 
 1.44339  1.93448  7 
 1.47411  1.91918  7 
 1.49591  1.90809  7 
 1.54844  1.88182  7 
 1.55478  1.87877  7 
 1.60096  1.85614  7 
 1.63975  1.83837  7 
 1.65348  1.83194  7 
 1.70601  1.80958  7 
 1.73699  1.79797  7 
 1.75853  1.78971  7 
 1.81106  1.77268  7 
 1.86358  1.75901  7 
 1.8711  1.75756  7 
 1.9161  1.74869  7 
 1.96863  1.742  7 
 2.02115  1.73897  7 
 2.07367  1.7395  7 
 2.1262  1.74338  7 
 2.17872  1.75035  7 
 2.21773  1.75756  7 
 2.23125  1.76001  7 
 2.28377  1.77185  7 
 2.33629  1.78558  7 
 2.37909  1.79797  7 
 2.38882  1.80072  7 
 2.44134  1.81657  7 
 2.49387  1.833  7 
 2.51097  1.83837  7 
 2.54639  1.84925  7 
 2.59891  1.86516  7 
 2.64602  1.87877  7 
 2.65144  1.88031  7 
 2.70396  1.89418  7 
 2.75649  1.90678  7 
 2.80901  1.91784  7 
 2.81653  1.91918  7 
 2.86153  1.92702  7 
 2.91406  1.93431  7 
 2.96658  1.9397  7 
 3.01911  1.94312  7 
 3.07163  1.9446  7 
 3.12415  1.94421  7 
 3.17668  1.94204  7 
 3.2292  1.93825  7 
 3.28173  1.933  7 
 3.33425  1.92651  7 
 3.3855  1.91918  7 
 3.38677  1.91899  7 
 3.4393  1.91052  7 
 3.49182  1.90149  7 
 3.54435  1.89218  7 
 3.59687  1.8828  7 
 3.6199  1.87877  7 
 3.64939  1.8735  7 
 3.70192  1.86455  7 
 3.75444  1.85618  7 
 3.80697  1.84861  7 
 3.85949  1.84199  7 
 3.89351  1.83837  7 
 3.91201  1.83636  7 
 3.96454  1.83181  7 
 4.01706  1.82849  7 
 4.06959  1.82641  7 
 4.12211  1.82554  7 
 4.17463  1.82587  7 
 4.22716  1.8273  7 
 4.27968  1.82976  7 
 4.3322  1.83313  7 
 4.38473  1.83728  7 
 4.39674  1.83837  7 
 4.43725  1.84198  7 
 4.48978  1.84713  7 
 4.5423  1.85261  7 
 4.59482  1.85826  7 
 4.64735  1.86393  7 
 4.69987  1.86947  7 

 0.711135  1.99999  7 
 0.708052  1.99845  7 
 0.655528  1.96762  7 
 0.643428  1.95958  7 
 0.603004  1.93217  7 
 0.585565  1.91918  7 
 0.55048  1.89249  7 
 0.533598  1.87877  7 
 0.497956  1.84919  7 
 0.485434  1.83837  7 
 0.445432  1.80304  7 
 0.439782  1.79797  7 
 0.395765  1.75756  7 
 0.392908  1.75488  7 
 0.35233  1.71716  7 
 0.340384  1.70579  7 
 0.308694  1.67675  7 
 0.28786  1.6572  7 
 0.264023  1.63635  7 
 0.235336  1.61063  7 
 0.217152  1.59595  7 
 0.182812  1.56751  7 
 0.165895  1.55554  7 
 0.130288  1.5297  7 
 0.105115  1.51514  7 
 0.0777639  1.49889  7 
 0.0252399  1.47704  7 
 0.0147551  1.47474  7 
-0.0272841  1.46522  7 
-0.0798081  1.46492  7 
-0.123475  1.47474  7 
-0.132332  1.47667  7 
-0.184856  1.50042  7 
-0.206407  1.51514  7 
-0.23738  1.53574  7 
-0.259748  1.55554  7 
-0.289904  1.58155  7 
-0.3034  1.59595  7 
-0.342258  1.63635  7 
-0.342428  1.63652  7 
-0.376121  1.67675  7 
-0.394952  1.69871  7 
-0.40895  1.71716  7 
-0.440328  1.75756  7 
-0.447476  1.76656  7 
-0.470262  1.79797  7 
-0.5  1.83805  7 


# Contour 4, label:        6
 2.59891 -1.72595  6 
 2.65144 -1.74219  6 
 2.70396 -1.75735  6 
 2.70482 -1.75758  6 
 2.75649 -1.77081  6 
 2.80901 -1.78263  6 
 2.86153 -1.79261  6 
 2.89695 -1.79798  6 
 2.91406 -1.80051  6 
 2.96658 -1.80626  6 
 3.01911 -1.80991  6 
 3.07163 -1.81149  6 
 3.12415 -1.81107  6 
 3.17668 -1.80876  6 
 3.2292 -1.80471  6 
 3.28173 -1.79911  6 
 3.29032 -1.79798  6 
 3.33425 -1.79206  6 
 3.38677 -1.78386  6 
 3.4393 -1.77481  6 
 3.49182 -1.76517  6 
 3.53194 -1.75758  6 
 3.54435 -1.75517  6 
 3.59687 -1.74492  6 
 3.64939 -1.73488  6 
 3.70192 -1.7253  6 
 3.74961 -1.71717  6 
 3.75444 -1.71633  6 
 3.80697 -1.70804  6 
 3.85949 -1.70078  6 
 3.91201 -1.69467  6 
 3.96454 -1.68979  6 
 4.01706 -1.68624  6 
 4.06959 -1.684  6 
 4.12211 -1.68308  6 
 4.17463 -1.68342  6 
 4.22716 -1.68496  6 
 4.27968 -1.6876  6 
 4.3322 -1.6912  6 
 4.38473 -1.69565  6 
 4.43725 -1.70077  6 
 4.48978 -1.70641  6 
 4.5423 -1.71241  6 
 4.58269 -1.71717  6 
