
# Surface 0 of 1 surfaces

# Curve title: ""PPESurface_contourtmp0.dat""

# Contour 0, label:       10
-0.0854708 -2  10 
-0.0798081 -1.99907  10 
-0.0272841 -1.99929  10 
-0.0229936 -2  10 

-0.0853868  1.99999  10 
-0.0798081  1.99906  10 
-0.0272841  1.99929  10 
-0.023077  1.99999  10 


# Contour 1, label:        9
-0.334033 -2  9 
-0.289904 -1.96254  9 
-0.285611 -1.9596  9 
-0.23738 -1.9258  9 
-0.224841 -1.91919  9 
-0.184856 -1.89769  9 
-0.132332 -1.879  9 
-0.131125 -1.87879  9 
-0.0798081 -1.86976  9 
-0.0272841 -1.87  9 
 0.0223544 -1.87879  9 
 0.0252399 -1.87929  9 
 0.0777639 -1.89649  9 
 0.126312 -1.91919  9 
 0.130288 -1.92101  9 
 0.182812 -1.95119  9 
 0.195302 -1.9596  9 
 0.235336 -1.98599  9 
 0.254484 -2  9 

-0.334017  1.99999  9 
-0.289904  1.96254  9 
-0.285591  1.95958  9 
-0.23738  1.9258  9 
-0.224815  1.91918  9 
-0.184856  1.89769  9 
-0.132332  1.879  9 
-0.131046  1.87877  9 
-0.0798081  1.86976  9 
-0.0272841  1.87  9 
 0.0222756  1.87877  9 
 0.0252399  1.87929  9 
 0.0777639  1.89649  9 
 0.126282  1.91918  9 
 0.130288  1.92101  9 
 0.182812  1.95119  9 
 0.195281  1.95958  9 
 0.235336  1.98599  9 
 0.254465  1.99999  9 


# Contour 2, label:        8
 1.80479 -2  8 
 1.81106 -1.99817  8 
 1.86358 -1.9859  8 
 1.9161 -1.97681  8 
 1.96863 -1.97094  8 
 2.02115 -1.96829  8 
 2.07367 -1.96875  8 
 2.1262 -1.97215  8 
 2.17872 -1.97827  8 
 2.23125 -1.98679  8 
 2.28377 -1.99743  8 
 2.29471 -2  8 

-0.453392 -2  8 
-0.447476 -1.99268  8 
-0.418199 -1.9596  8 
-0.394952 -1.93278  8 
-0.381629 -1.91919  8 
-0.342841 -1.87879  8 
-0.342428 -1.87835  8 
-0.298227 -1.83838  8 
-0.289904 -1.83069  8 
-0.246144 -1.79798  8 
-0.23738 -1.79128  8 
-0.184856 -1.76111  8 
-0.175567 -1.75758  8 
-0.132332 -1.74076  8 
-0.0798081 -1.73088  8 
-0.0272841 -1.73113  8 
 0.0252399 -1.74108  8 
 0.0713363 -1.75758  8 
 0.0777639 -1.75982  8 
 0.130288 -1.78606  8 
 0.149302 -1.79798  8 
 0.182812 -1.81852  8 
 0.21049 -1.83838  8 
 0.235336 -1.85583  8 
 0.264783 -1.87879  8 
 0.28786 -1.8964  8 
 0.315702 -1.91919  8 
 0.340384 -1.93898  8 
 0.365143 -1.9596  8 
 0.392908 -1.98225  8 
 0.414449 -2  8 

 1.80483  1.99999  8 
 1.81106  1.99817  8 
 1.86358  1.9859  8 
 1.9161  1.97681  8 
 1.96863  1.97094  8 
 2.02115  1.96829  8 
 2.07367  1.96875  8 
 2.1262  1.97215  8 
 2.17872  1.97827  8 
 2.23125  1.98679  8 
 2.28377  1.99743  8 
 2.29465  1.99999  8 

-0.453381  1.99999  8 
-0.447476  1.99268  8 
-0.418187  1.95958  8 
-0.394952  1.93278  8 
-0.381616  1.91918  8 
-0.342828  1.87877  8 
-0.342428  1.87835  8 
-0.29821  1.83837  8 
-0.289904  1.83069  8 
-0.246124  1.79797  8 
-0.23738  1.79128  8 
-0.184856  1.76111  8 
-0.175531  1.75756  8 
-0.132332  1.74076  8 
-0.0798081  1.73088  8 
-0.0272841  1.73113  8 
 0.0252399  1.74108  8 
 0.071297  1.75756  8 
 0.0777639  1.75982  8 
 0.130288  1.78606  8 
 0.149277  1.79797  8 
 0.182812  1.81852  8 
 0.210469  1.83837  8 
 0.235336  1.85583  8 
 0.264765  1.87877  8 
 0.28786  1.8964  8 
 0.315686  1.91918  8 
 0.340384  1.93898  8 
 0.365126  1.95958  8 
 0.392908  1.98225  8 
 0.414432  1.99999  8 


# Contour 3, label:        7
 1.49133 -2  7 
 1.49591 -1.99776  7 
 1.54844 -1.97256  7 
 1.57661 -1.9596  7 
 1.60096 -1.94816  7 
 1.65348 -1.9251  7 
 1.66829 -1.91919  7 
 1.70601 -1.90381  7 
 1.75853 -1.88497  7 
 1.7789 -1.87879  7 
 1.81106 -1.86881  7 
 1.86358 -1.85574  7 
 1.9161 -1.84606  7 
 1.96863 -1.8398  7 
 1.99501 -1.83838  7 
 2.02115 -1.83695  7 
 2.07367 -1.83745  7 
 2.08692 -1.83838  7 
 2.1262 -1.8411  7 
 2.17872 -1.84761  7 
 2.23125 -1.85669  7 
 2.28377 -1.86802  7 
 2.32684 -1.87879  7 
 2.33629 -1.8811  7 
 2.38882 -1.89534  7 
 2.44134 -1.91051  7 
 2.47033 -1.91919  7 
 2.49387 -1.92609  7 
 2.54639 -1.94156  7 
 2.59891 -1.9568  7 
 2.609 -1.9596  7 
 2.65144 -1.97111  7 
 2.70396 -1.98442  7 
 2.75649 -1.9965  7 
 2.77381 -2  7 

 4.69987 -1.96091  7 
 4.68663 -1.9596  7 
 4.64735 -1.95562  7 
 4.59482 -1.95019  7 
 4.5423 -1.94477  7 
 4.48978 -1.93952  7 
 4.43725 -1.93459  7 
 4.38473 -1.9301  7 
 4.3322 -1.92621  7 
 4.27968 -1.92306  7 
 4.22716 -1.92075  7 
 4.17463 -1.91941  7 
 4.13735 -1.91919  7 
 4.12211 -1.9191  7 
 4.11642 -1.91919  7 
 4.06959 -1.91991  7 
 4.01706 -1.92187  7 
 3.96454 -1.92498  7 
 3.91201 -1.92925  7 
 3.85949 -1.93459  7 
 3.80697 -1.94094  7 
 3.75444 -1.9482  7 
 3.70192 -1.95622  7 
 3.68126 -1.9596  7 
 3.64939 -1.96469  7 
 3.59687 -1.97351  7 
 3.54435 -1.9825  7 
 3.49182 -1.99143  7 
 3.43984 -2  7 

-0.5 -1.93083  7 
-0.490793 -1.91919  7 
-0.459482 -1.87879  7 
-0.447476 -1.86296  7 
-0.42706 -1.83838  7 
-0.394952 -1.79888  7 
-0.394126 -1.79798  7 
-0.357812 -1.75758  7 
-0.342428 -1.74006  7 
-0.318763 -1.71717  7 
-0.289904 -1.68859  7 
-0.275139 -1.67677  7 
-0.23738 -1.64579  7 
-0.222094 -1.63636  7 
-0.184856 -1.61283  7 
-0.144507 -1.59596  7 
-0.132332 -1.59074  7 
-0.0798081 -1.57984  7 
-0.0272841 -1.58012  7 
 0.0252399 -1.59109  7 
 0.0375787 -1.59596  7 
 0.0777639 -1.61142  7 
 0.123154 -1.63636  7 
 0.130288 -1.64019  7 
 0.182812 -1.67552  7 
 0.184396 -1.67677  7 
 0.235336 -1.71594  7 
 0.236775 -1.71717  7 
 0.28522 -1.75758  7 
 0.28786 -1.75973  7 
 0.331601 -1.79798  7 
 0.340384 -1.80549  7 
 0.377416 -1.83838  7 
 0.392908 -1.85185  7 
 0.423594 -1.87879  7 
 0.445432 -1.89755  7 
 0.471018 -1.91919  7 
 0.497956 -1.9415  7 
 0.520706 -1.9596  7 
 0.55048 -1.9828  7 
 0.574057 -2  7 

 3.43992  1.99999  7 
 3.49182  1.99143  7 
 3.54435  1.9825  7 
 3.59687  1.97351  7 
 3.64939  1.96469  7 
 3.68134  1.95958  7 
 3.70192  1.95622  7 
 3.75444  1.9482  7 
 3.80697  1.94094  7 
 3.85949  1.93459  7 
 3.91201  1.92925  7 
 3.96454  1.92498  7 
 4.01706  1.92187  7 
 4.06959  1.91991  7 
 4.11729  1.91918  7 
 4.12211  1.9191  7 
 4.13501  1.91918  7 
 4.17463  1.91941  7 
 4.22716  1.92075  7 
 4.27968  1.92306  7 
 4.3322  1.92621  7 
 4.38473  1.9301  7 
 4.43725  1.93459  7 
 4.48978  1.93952  7 
 4.5423  1.94477  7 
 4.59482  1.95019  7 
 4.64735  1.95562  7 
 4.68649  1.95958  7 
 4.69987  1.96091  7 

 1.49136  1.99999  7 
 1.49591  1.99776  7 
 1.54844  1.97256  7 
 1.57664  1.95958  7 
 1.60096  1.94816  7 
 1.65348  1.9251  7 
 1.66832  1.91918  7 
 1.70601  1.90381  7 
 1.75853  1.88497  7 
 1.77895  1.87877  7 
 1.81106  1.86881  7 
 1.86358  1.85574  7 
 1.9161  1.84606  7 
 1.96863  1.8398  7 
 1.99529  1.83837  7 
 2.02115  1.83695  7 
 2.07367  1.83745  7 
 2.0867  1.83837  7 
 2.1262  1.8411  7 
 2.17872  1.84761  7 
 2.23125  1.85669  7 
 2.28377  1.86802  7 
 2.32678  1.87877  7 
 2.33629  1.8811  7 
 2.38882  1.89534  7 
 2.44134  1.91051  7 
 2.47029  1.91918  7 
 2.49387  1.92609  7 
 2.54639  1.94156  7 
 2.59891  1.9568  7 
 2.60895  1.95958  7 
 2.65144  1.97111  7 
 2.70396  1.98442  7 
 2.75649  1.9965  7 
 2.77374  1.99999  7 

 0.574038  1.99999  7 
 0.55048  1.9828  7 
 0.520688  1.95958  7 
 0.497956  1.9415  7 
 0.471002  1.91918  7 
 0.445432  1.89755  7 
 0.423578  1.87877  7 
 0.392908  1.85185  7 
 0.377399  1.83837  7 
 0.340384  1.80549  7 
 0.331583  1.79797  7 
 0.28786  1.75973  7 
 0.285203  1.75756  7 
 0.236759  1.71716  7 
 0.235336  1.71594  7 
 0.184379  1.67675  7 
 0.182812  1.67552  7 
 0.130288  1.64019  7 
 0.123128  1.63635  7 
 0.0777639  1.61142  7 
 0.0375431  1.59595  7 
 0.0252399  1.59109  7 
-0.0272841  1.58012  7 
-0.0798081  1.57984  7 
-0.132332  1.59074  7 
-0.144474  1.59595  7 
-0.184856  1.61283  7 
-0.222072  1.63635  7 
-0.23738  1.64579  7 
-0.275122  1.67675  7 
-0.289904  1.68859  7 
-0.318749  1.71716  7 
-0.342428  1.74006  7 
-0.357799  1.75756  7 
-0.394112  1.79797  7 
-0.394952  1.79888  7 
-0.427047  1.83837  7 
-0.447476  1.86296  7 
-0.459472  1.87877  7 
-0.490782  1.91918  7 
-0.5  1.93083  7 


# Contour 4, label:        6
 4.69987 -1.82891  6 
 4.64735 -1.82325  6 
 4.59482 -1.81745  6 
 4.5423 -1.81167  6 
 4.48978 -1.80607  6 
 4.43725 -1.80081  6 
 4.4062 -1.79798  6 
 4.38473 -1.79598  6 
 4.3322 -1.79174  6 
 4.27968 -1.7883  6 
 4.22716 -1.78578  6 
 4.17463 -1.78431  6 
 4.12211 -1.78398  6 
 4.06959 -1.78486  6 
 4.01706 -1.787  6 
 3.96454 -1.79039  6 
 3.91201 -1.79504  6 
 3.88558 -1.79798  6 
 3.85949 -1.80081  6 
 3.80697 -1.80759  6 
 3.75444 -1.81533  6 
 3.70192 -1.82388  6 
 3.64939 -1.83303  6 
 3.62011 -1.83838  6 
 3.59687 -1.84254  6 
 3.54435 -1.85212  6 
 3.49182 -1.86163  6 
 3.4393 -1.87085  6 
 3.39117 -1.87879  6 
 3.38677 -1.8795  6 
 3.33425 -1.88717  6 
 3.28173 -1.8938  6 
 3.2292 -1.89916  6 
 3.17668 -1.90304  6 
 3.12415 -1.90525  6 
 3.07163 -1.90565  6 
 3.01911 -1.90414  6 
 2.96658 -1.90064  6 
 2.91406 -1.89514  6 
 2.86153 -1.88769  6 
 2.8115 -1.87879  6 
 2.80901 -1.87834  6 
 2.75649 -1.86703  6 
 2.70396 -1.85416  6 
 2.65144 -1.83999  6 
 2.64589 -1.83838  6 
 2.59891 -1.8245  6 
 2.54639 -1.80824  6 
 2.51372 -1.79798  6 
 2.49387 -1.79161  6 
 2.44134 -1.7748  6 
 2.38882 -1.75859  6 
 2.3853 -1.75758  6 
 2.33629 -1.74306  6 
 2.28377 -1.72902  6 
 2.23245 -1.71717  6 
 2.23125 -1.71689  6 
 2.17872 -1.70694  6 
 2.1262 -1.69981  6 
 2.07367 -1.69583  6 
 2.02115 -1.6953  6 
 1.96863 -1.69839  6 
 1.9161 -1.70524  6 
 1.86358 -1.71585  6 
 1.85871 -1.71717  6 
 1.81106 -1.72986  6 
 1.75853 -1.74729  6 
 1.7323 -1.75758  6 
 1.70601 -1.76765  6 
 1.65348 -1.79052  6 
 1.63791 -1.79798  6 
 1.60096 -1.81529  6 
 1.55485 -1.83838  6 
 1.54844 -1.84153  6 
 1.49591 -1.86838  6 
 1.47587 -1.87879  6 
 1.44339 -1.89531  6 
 1.39605 -1.91919  6 
 1.39086 -1.92176  6 
 1.33834 -1.94672  6 
 1.30953 -1.9596  6 
 1.28582 -1.96998  6 
 1.23329 -1.99061  6 
 1.20546 -2  6 

-0.5 -1.79677  6 
-0.471567 -1.75758  6 
-0.447476 -1.7236  6 
-0.442486 -1.71717  6 
-0.411837 -1.67677  6 
-0.394952 -1.65397  6 
-0.380212 -1.63636  6 
-0.3472 -1.59596  6 
-0.342428 -1.58997  6 
-0.310158 -1.55556  6 
-0.289904 -1.53339  6 
-0.269304 -1.51515  6 
-0.23738 -1.48613  6 
-0.220722 -1.47475  6 
-0.184856 -1.44957  6 
-0.152095 -1.43435  6 
-0.132332 -1.4249  6 
-0.0798081 -1.41276  6 
-0.0272841 -1.41307  6 
 0.0252399 -1.42529  6 
 0.0458264 -1.43435  6 
 0.0777639 -1.448  6 
 0.121576 -1.47475  6 
 0.130288 -1.47993  6 
 0.17755 -1.51515  6 
 0.182812 -1.51897  6 
 0.225853 -1.55556  6 
 0.235336 -1.56341  6 
 0.270734 -1.59596  6 
 0.28786 -1.61132  6 
 0.313898 -1.63636  6 
 0.340384 -1.66122  6 
 0.35633 -1.67677  6 
 0.392908 -1.71158  6 
 0.398724 -1.71717  6 
 0.441741 -1.75758  6 
 0.445432 -1.76096  6 
 0.48641 -1.79798  6 
 0.497956 -1.80818  6 
 0.533554 -1.83838  6 
 0.55048 -1.85243  6 
 0.584388 -1.87879  6 
 0.603004 -1.89295  6 
 0.640895 -1.91919  6 
 0.655528 -1.92912  6 
 0.706389 -1.9596  6 
 0.708052 -1.96057  6 
 0.760576 -1.98666  6 
 0.793975 -2  6 

 1.2055  1.99999  6 
 1.23329  1.99061  6 
 1.28582  1.96998  6 
 1.30956  1.95958  6 
 1.33834  1.94672  6 
 1.39086  1.92176  6 
 1.39608  1.91918  6 
 1.44339  1.89531  6 
 1.4759  1.87877  6 
 1.49591  1.86838  6 
 1.54844  1.84153  6 
