
# Surface 0 of 1 surfaces

# Curve title: ""TwoElectronsInBox_contourtmp0.dat""

# Contour 0, label:        1
 0.416665  0.980958  1 
 0.341223  0.916663  1 
 0.333332  0.906473  1 
 0.29937  0.83333  1 
 0.277636  0.749997  1 
 0.269605  0.666664  1 
 0.274179  0.583331  1 
 0.29259  0.499998  1 
 0.329334  0.416665  1 
 0.333332  0.410838  1 
 0.410838  0.333332  1 
 0.416665  0.329334  1 
 0.499998  0.29259  1 
 0.583331  0.274179  1 
 0.666664  0.269605  1 
 0.749997  0.277636  1 
 0.83333  0.29937  1 
 0.906473  0.333332  1 
 0.916663  0.341223  1 
 0.980958  0.416665  1 
 0.999984  0.499998  1 
 0.985575  0.583331  1 
 0.948467  0.666664  1 
 0.916663  0.715001  1 
 0.892298  0.749997  1 
 0.83333  0.817459  1 
 0.817459  0.83333  1 
 0.749997  0.892298  1 
 0.715001  0.916663  1 
 0.666664  0.948467  1 
 0.583331  0.985575  1 
 0.499998  0.999984  1 
 0.416665  0.980958  1 


# Contour 1, label:        0
 0  1.99999  0 
 0  1.91666  0 
 0.083333  1.91603  0 
 0.164913  1.83333  0 
 0.166666  1.83296  0 
 0.249872  1.74999  0 
 0.249999  1.74995  0 
 0.333332  1.66668  0 
 0.333343  1.66666  0 
 0.416665  1.58338  0 
 0.416698  1.58333  0 
 0.499998  1.50002  0 
 0.500013  1.49999  0 
 0.583331  1.41668  0 
 0.583346  1.41666  0 
 0.666664  1.33333  0 
 0.749997  1.25  0 
 0.83333  1.16668  0 
 0.916663  1.08335  0 
 0.999996  1.00001  0 
 1.08333  0.916679  0 
 1.16666  0.833346  0 
 1.24999  0.750004  0 
 1.33333  0.666668  0 
 1.41666  0.583346  0 
 1.41668  0.583331  0 
 1.49999  0.500013  0 
 1.50002  0.499998  0 
 1.58333  0.416698  0 
 1.58338  0.416665  0 
 1.66666  0.333343  0 
 1.66668  0.333332  0 
 1.74995  0.249999  0 
 1.74999  0.249872  0 
 1.83296  0.166666  0 
 1.83333  0.164913  0 
 1.91603  0.083333  0 
 1.91666  0  0 
 1.99999  0  0 


# Contour 2, label:       -1
 1.16666  1.70064 -1 
 1.0935  1.66666 -1 
 1.08333  1.65878 -1 
 1.01905  1.58333 -1 
 1.00002  1.49999 -1 
 1.01443  1.41666 -1 
 1.05154  1.33333 -1 
 1.08333  1.28502 -1 
 1.10772  1.24999 -1 
 1.16666  1.18257 -1 
 1.18257  1.16666 -1 
 1.24999  1.10772 -1 
 1.28502  1.08333 -1 
 1.33333  1.05154 -1 
 1.41666  1.01443 -1 
 1.49999  1.00002 -1 
 1.58333  1.01905 -1 
 1.65878  1.08333 -1 
 1.66666  1.0935 -1 
 1.70064  1.16666 -1 
 1.72238  1.24999 -1 
 1.73041  1.33333 -1 
 1.72584  1.41666 -1 
 1.70743  1.49999 -1 
 1.67069  1.58333 -1 
 1.66666  1.5892 -1 
 1.5892  1.66666 -1 
 1.58333  1.67069 -1 
 1.49999  1.70743 -1 
 1.41666  1.72584 -1 
 1.33333  1.73041 -1 
 1.24999  1.72238 -1 
 1.16666  1.70064 -1 

